date,sales,revenue,units_sold,temperature,day_of_week,is_weekend,is_promotion,is_event,month,season
2022-01-01,5932.66,5932.66,132,-10.528440514157912,5,1,0,0,1,winter
2022-01-02,4683.86,4683.86,104,-15.76370933734618,6,1,0,0,1,winter
2022-01-03,3648.85,3648.85,81,-9.15355434360017,0,0,0,0,1,winter
2022-01-04,4196.41,4196.41,93,-1.7941835947559444,1,0,0,0,1,winter
2022-01-05,3320.89,3320.89,74,-16.36822488077898,2,0,0,0,1,winter
2022-01-06,3787.66,3787.66,84,-16.294663706788423,3,0,0,0,1,winter
2022-01-07,5656.36,5656.36,126,-1.1057409485323735,4,0,0,0,1,winter
2022-01-08,6158.88,6158.88,137,-7.788656401799565,5,1,0,0,1,winter
2022-01-09,3856.67,3856.67,86,-18.010127418586364,6,1,0,0,1,winter
2022-01-10,3696.23,3696.23,82,-9.48622473579417,0,0,0,0,1,winter
2022-01-11,3676.11,3676.11,82,-17.77493936045847,1,0,0,0,1,winter
2022-01-12,3984.29,3984.29,89,-17.69565059550166,2,0,0,0,1,winter
2022-01-13,4296.91,4296.91,95,-11.69556755972972,3,0,0,0,1,winter
2022-01-14,3858.5,3858.5,86,-29.549209230854522,4,0,0,0,1,winter
2022-01-15,3925.14,3925.14,87,-27.86877831572559,5,1,0,0,1,winter
2022-01-16,4338.89,4338.89,96,-18.06544960723467,6,1,0,0,1,winter
2022-01-17,3677.87,3677.87,82,-21.70127198527065,0,0,0,0,1,winter
2022-01-18,4180.92,4180.92,93,-10.51964780553636,1,0,0,0,1,winter
2022-01-19,3816.7,3816.7,85,-20.578712616954043,2,0,0,0,1,winter
2022-01-20,4134.85,4134.85,92,-24.650656885264475,3,0,0,0,1,winter
2022-01-21,5371.05,5371.05,119,-0.5335166318999658,4,0,0,0,1,winter
2022-01-22,5451.01,5451.01,121,-14.490745255238304,5,1,0,0,1,winter
2022-01-23,4822.98,4822.98,107,-11.904824356421086,6,1,0,0,1,winter
2022-01-24,4031.37,4031.37,90,-24.19504985131502,0,0,0,0,1,winter
2022-01-25,3962.08,3962.08,88,-16.709608589486937,1,0,0,0,1,winter
2022-01-26,4376.22,4376.22,97,-11.096061408371265,2,0,0,0,1,winter
2022-01-27,4465.38,4465.38,99,-21.455797996537513,3,0,0,0,1,winter
2022-01-28,5070.64,5070.64,113,-8.573620946514366,4,0,0,0,1,winter
2022-01-29,5572.85,5572.85,124,-16.546544819249107,5,1,0,0,1,winter
2022-01-30,5139.23,5139.23,114,-13.805368375455743,6,1,0,0,1,winter
2022-01-31,3591.05,3591.05,80,-16.218803084026636,0,0,0,0,1,winter
2022-02-01,4682.14,4682.14,104,4.404396193114701,1,0,0,0,2,winter
2022-02-02,3970.29,3970.29,88,-10.967137447254801,2,0,0,0,2,winter
2022-02-03,3898.2,3898.2,87,-19.48910707552579,3,0,0,0,2,winter
2022-02-04,5023.74,5023.74,112,-3.637333971581463,4,0,0,0,2,winter
2022-02-05,5218.23,5218.23,116,-20.479488591446856,5,1,0,0,2,winter
2022-02-06,5754.55,5754.55,128,-8.37612432412122,6,1,0,0,2,winter
2022-02-07,3558.82,3558.82,79,-26.255103639298973,0,0,0,0,2,winter
2022-02-08,4087.54,4087.54,91,-20.797660489678307,1,0,0,0,2,winter
2022-02-09,4779.68,4779.68,106,-7.8909742144432995,2,0,0,0,2,winter
2022-02-10,4365.36,4365.36,97,-3.1768130599845916,3,0,0,0,2,winter
2022-02-11,5106.45,5106.45,113,-7.699084041810471,4,0,0,0,2,winter
